	"State"	"State Code"	Deaths	Population
	"Alabama"	"01"	708	631445
	"Alaska"	"02"	130	89986
	"Arizona"	"04"	675	730582
	"Arkansas"	"05"	410	380363
	"California"	"06"	3104	4832176
	"Colorado"	"08"	452	613476
	"Connecticut"	"09"	244	404198
	"Delaware"	"10"	85	107297
	"District of Columbia"	"11"	115	89690
	"Florida"	"12"	1741	1942377
	"Georgia"	"13"	1100	1188473
	"Hawaii"	"15"	89	164411
	"Idaho"	"16"	130	204852
	"Illinois"	"17"	1463	1744845
	"Indiana"	"18"	751	879213
	"Iowa"	"19"	308	430083
	"Kansas"	"20"	336	400285
	"Kentucky"	"21"	543	572036
	"Louisiana"	"22"	827	691516
	"Maine"	"23"	119	159141
	"Maryland"	"24"	621	670248
	"Massachusetts"	"25"	405	820016
	"Michigan"	"26"	1031	1363706
	"Minnesota"	"27"	449	696845
	"Mississippi"	"28"	539	446135
	"Missouri"	"29"	782	782794
	"Montana"	"30"	137	129689
	"Nebraska"	"31"	194	255240
	"Nevada"	"32"	220	257175
	"New Hampshire"	"33"	89	155454
	"New Jersey"	"34"	648	1005295
	"New Mexico"	"35"	324	267042
	"New York"	"36"	1511	2531853
	"North Carolina"	"37"	976	1117439
	"North Dakota"	"38"	70	104121
	"Ohio"	"39"	1057	1545796
	"Oklahoma"	"40"	453	516538
	"Oregon"	"41"	334	474833
	"Pennsylvania"	"42"	1233	1597072
	"Rhode Island"	"44"	89	147258
	"South Carolina"	"45"	605	577091
	"South Dakota"	"46"	99	115265
	"Tennessee"	"47"	860	781529
	"Texas"	"48"	2747	3175636
	"Utah"	"49"	277	441430
	"Vermont"	"50"	65	83622
	"Virginia"	"51"	708	964639
	"Washington"	"53"	563	818153
	"West Virginia"	"54"	256	245687
	"Wisconsin"	"55"	568	764487
	"Wyoming"	"56"	67	75358
"Total"			31307	39183891
